Country,Region,Zone,ISO3,Admin2 Pcode,Admin1 Pcode,Events,date
Ethiopia,Gambela,Itang Special woreda,ETH,ET1204,ET12,0,2018-04-01
Ethiopia,Oromia,Buno Bedele,ETH,ET0416,ET04,0,2018-04-01
Ethiopia,Oromia,Finfine Special,ETH,ET0420,ET04,0,2018-04-01
Ethiopia,Oromia,Horo Gudru Wellega,ETH,ET0419,ET04,0,2018-04-01
Ethiopia,Oromia,North Shewa,ETH,ET0406,ET04,0,2018-04-01
Ethiopia,SNNP,Alle,ETH,ET0712,ET07,0,2018-04-01
Ethiopia,SNNP,Derashe,ETH,ET0723,ET07,0,2018-04-01
Ethiopia,SNNP,Guraghe,ETH,ET0701,ET07,0,2018-04-01
Ethiopia,SNNP,Kembata Tibaro,ETH,ET0703,ET07,0,2018-04-01
Ethiopia,SNNP,Konso,ETH,ET0713,ET07,0,2018-04-01
Ethiopia,Somali,Shabelle,ETH,ET0506,ET05,0,2018-04-01
Ethiopia,Tigray,Mekelle Tigray,ETH,ET0107,ET01,0,2018-04-01
Ethiopia,Tigray,North Western Tigray,ETH,ET0101,ET01,0,2018-04-01
Ethiopia,Tigray,Southern Tigray,ETH,ET0104,ET01,0,2018-04-01
Ethiopia,Benshangul/Gumuz,Kemashi,ETH,ET0604,ET06,0,2018-05-01
Ethiopia,Gambela,Majang,ETH,ET1203,ET12,0,2018-05-01
Ethiopia,Oromia,Arsi,ETH,ET0408,ET04,0,2018-05-01
Ethiopia,Oromia,East Bale,ETH,ET0421,ET04,1,2018-05-01
Ethiopia,Oromia,East Wellega,ETH,ET0402,ET04,0,2018-05-01
Ethiopia,Sidama,Sidama,ETH,ET1600,ET16,0,2018-05-01
Ethiopia,SNNP,Amaro,ETH,ET0721,ET07,0,2018-05-01
Ethiopia,SNNP,Basketo,ETH,ET0716,ET07,0,2018-05-01
Ethiopia,South West,Bench Sheko,ETH,ET1103,ET11,1,2018-05-01
Ethiopia,SNNP,Gedeo,ETH,ET0705,ET07,0,2018-05-01
Ethiopia,South West,Sheka,ETH,ET1101,ET11,0,2018-05-01
Ethiopia,Somali,Siti,ETH,ET0501,ET05,2,2018-05-01
Ethiopia,Amhara,South Gondar,ETH,ET0302,ET03,0,2018-05-01
Ethiopia,Amhara,South Wello,ETH,ET0304,ET03,0,2018-05-01
Ethiopia,Benshangul/Gumuz,Asosa,ETH,ET0603,ET06,0,2018-05-01
