Region,Zone,Admin1 Pcode,Events,date
Oromia,East Wellega,ET04,4,2018-10-01
Sidama,Sidama,ET16,0,2018-10-01
SNNP,Amaro,ET07,0,2018-10-01
SNNP,Basketo,ET07,0,2018-10-01
South West,Bench Sheko,ET11,0,2018-10-01
SNNP,Gedeo,ET07,0,2018-10-01
South West,Sheka,ET11,1,2018-10-01
Somali,Siti,ET05,0,2018-10-01
Amhara,South Gondar,ET03,0,2018-10-01
Amhara,South Wello,ET03,0,2018-10-01
Benshangul/Gumuz,Asosa,ET06,1,2018-10-01
Oromia,East Shewa,ET04,0,2018-10-01
Oromia,Guji,ET04,0,2018-10-01
